Date,Model,RMSE (bps),Time (ms)
2020-03-16,heston,287.5722937095048,9282.911777496338
2020-03-16,rough_heston,695.427175237794,2213.183641433716
2020-03-16,rbergomi,588.697885180423,3551.5921115875244
2020-03-16,sabr,414.11293707760944,2544.935941696167
2020-03-16,ssvi,338.55242016720683,5839.060306549072
2020-03-16,local_vol,531.681207184113,580.2268981933594
2020-03-16,mlsv,595.90535452086,347.5832939147949
2022-01-24,heston,287.5722937095048,8565.577983856201
2022-01-24,rough_heston,695.427175237794,2465.609550476074
2022-01-24,rbergomi,588.697885180423,3744.180202484131
2022-01-24,sabr,414.11293707760944,3486.034393310547
2022-01-24,ssvi,338.55242016720683,6940.610885620117
2022-01-24,local_vol,534.864972175201,538.2111072540283
2022-01-24,mlsv,599.9660202889294,425.94456672668457
2024-01-02,heston,72.43475050005256,10045.98355293274
2024-01-02,rough_heston,433.08947371285296,2709.2931270599365
2024-01-02,rbergomi,1364.497740502372,4425.004243850708
2024-01-02,sabr,759.9998912175942,3773.9949226379395
2024-01-02,ssvi,1251.2205542587565,7652.277946472168
2024-01-02,local_vol,586.1568536991427,7752.411603927612
2024-01-02,mlsv,586.1523313727334,7867.570638656616
2024-08-05,heston,287.5722937095048,7497.629404067993
2024-08-05,rough_heston,695.427175237794,1919.142246246338
2024-08-05,rbergomi,588.697885180423,3347.8221893310547
2024-08-05,sabr,414.11293707760944,2183.0227375030518
2024-08-05,ssvi,338.55242016720683,6431.218147277832
2024-08-05,local_vol,535.7698842193655,333.7976932525635
2024-08-05,mlsv,601.0896995026333,305.2201271057129
